"","game_date","time","home","guest","home_score","guest_score","date","hour","1","X","2","advantage","winner"
"193","2016-12-16","04:00","Phoenix Suns","San Antonio Spurs",92,107,"15/12/2016","18:05",1.8,9,1.8,7,"2"
"194","2016-12-16","04:00","Phoenix Suns","San Antonio Spurs",92,107,"15/12/2016","22:50",1.8,9,1.8,8,"2"
"195","2016-12-16","03:00","Milwaukee Bucks","Chicago Bulls",108,97,"15/12/2016","07:10",1.8,9,1.8,-2,"1.0"
"196","2016-12-16","04:00","Denver Nuggets","Portland Trail Blazers",132,120,"15/12/2016","07:15",1.8,9,1.8,-1,"1.0"
"197","2016-12-16","04:00","Denver Nuggets","Portland Trail Blazers",132,120,"15/12/2016","18:05",1.8,9,1.8,1,"1.0"
"198","2016-12-16","04:00","Denver Nuggets","Portland Trail Blazers",132,120,"15/12/2016","23:40",1.8,9,1.8,-1,"1.0"
"199","2016-12-16","05:30","Golden State Warriors","New York Knicks",103,90,"15/12/2016","07:10",1.8,9,1.8,-14,"2"
"200","2016-12-16","05:30","Golden State Warriors","New York Knicks",103,90,"15/12/2016","22:45",1.8,9,1.8,-15,"2"
"201","2016-12-16","05:30","Golden State Warriors","New York Knicks",103,90,"15/12/2016","23:20",1.8,9,1.8,-17,"2"
"202","2016-12-17","02:00","Orlando Magic","Brooklyn Nets",118,111,"16/12/2016","07:05",1.8,9,1.8,-6,"1.0"
"203","2016-12-17","02:00","Orlando Magic","Brooklyn Nets",118,111,"16/12/2016","18:30",1.8,9,1.8,-7,"X"
"204","2016-12-17","02:30","Boston Celtics","Charlotte Hornets",96,88,"16/12/2016","18:20",1.8,9,1.8,-7,"1.0"
"205","2016-12-17","03:00","Memphis Grizzlies","Sacramento Kings",92,96,"16/12/2016","18:25",1.8,9,1.8,-5,"2"
"206","2016-12-17","03:00","Memphis Grizzlies","Sacramento Kings",92,96,"16/12/2016","20:15",1.8,9,1.8,-6,"2"
